TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,821.0,0.2219,29.08,,,
2024-08-02,820.8,0.2144,28.1,,,
2024-08-03,820.7,0.2106,27.6,,,
2024-08-04,820.5,0.203,26.61,,,
2024-08-05,820.5,0.203,26.61,,,
2024-08-06,820.5,0.203,26.61,,,
2024-08-07,820.5,0.203,26.61,,,
2024-08-08,820.4,0.1993,26.12,,,
2024-08-09,820.4,0.1993,26.12,,,
2024-08-10,,,,,,
2024-08-11,820.4,0.1993,26.12,,,
2024-08-12,820.4,0.1993,26.12,,,
2024-08-13,820.6,0.2068,27.1,,,
2024-08-14,820.6,0.2068,27.1,,,
2024-08-15,820.5,0.203,26.61,,,
2024-08-16,820.5,0.203,26.61,,,
2024-08-17,820.5,0.203,26.61,,,
2024-08-18,820.5,0.203,26.61,,,
2024-08-19,820.5,0.203,26.61,,,
2024-08-20,820.5,0.203,26.61,,,
2024-08-21,820.5,0.203,26.61,,,
2024-08-22,820.5,0.203,26.61,,,
2024-08-23,820.5,0.203,26.61,,,
2024-08-24,820.5,0.203,26.61,,,
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,820.5,0.203,26.61,,,
2024-08-29,820.5,0.203,26.61,,,
2024-08-30,820.5,0.203,26.61,,,
2024-08-31,820.5,0.203,26.61,,,
2024-09-01,820.5,0.203,26.61,,,
2024-09-02,820.5,0.203,26.61,,,
2024-09-03,820.5,0.203,26.61,,,
2024-09-04,820.5,0.203,26.61,,,
2024-09-05,820.5,0.203,26.61,,,
2024-09-06,820.5,0.203,26.61,,,
2024-09-07,820.5,0.203,26.61,,,
2024-09-08,820.5,0.203,26.61,,,
2024-09-09,820.5,0.203,26.61,,,
2024-09-10,820.5,0.203,26.61,,,
2024-09-11,820.5,0.203,26.61,,,
2024-09-12,820.5,0.203,26.61,,,
2024-09-13,820.5,0.203,26.61,,,
2024-09-14,820.5,0.203,26.61,,,
2024-09-15,820.5,0.203,26.61,,,
2024-09-16,820.5,0.203,26.61,,,
2024-09-17,820.5,0.203,26.61,,,
2024-09-18,820.5,0.203,26.61,,,
2024-09-19,820.5,0.203,26.61,,,
2024-09-20,820.5,0.203,26.61,,,
2024-09-21,820.4,0.1993,26.12,,,
2024-09-22,820.4,0.1993,26.12,,,
2024-09-23,820.4,0.1993,26.12,,,
2024-09-24,820.4,0.1993,26.12,,,
2024-09-25,820.4,0.1993,26.12,,,
2024-09-26,820.3,0.1955,25.62,,,
2024-09-27,820.3,0.1955,25.62,,,
2024-09-28,820.3,0.1955,25.62,,,
2024-09-29,820.3,0.1955,25.62,,,
2024-09-30,820.3,0.1955,25.62,,,
2024-10-01,,,,,,
2024-10-02,,,,,,
2024-10-03,,,,,,
2024-10-04,,,,,,
2024-10-05,,,,,,
2024-10-06,,,,,,
2024-10-07,,,,,,
2024-10-08,,,,,,
2024-10-09,,,,,,
2024-10-10,,,,,,
2024-10-11,,,,,,
2024-10-12,,,,,,
2024-10-13,,,,,,
2024-10-14,,,,,,
2024-10-15,,,,,,
2024-10-16,,,,,,
2024-10-17,,,,,,
